title,release_date,album,lyrics
Song for Someone,2014-09-09,Songs Of Innocence (Deluxe),"34 ContributorsSong for Someone Lyrics
You got a face not spoiled by beauty
I have some scars from where I've been
You've got eyes that can see right through me
You're not afraid of anything they've seen
I was told that I would feel
Nothing the first time
I don't know how these cuts heal
But in you I found a rhyme

If there is a light you can't always see
And there is a world we can't always be
If there is a dark that we shouldn't doubt
And there is a light, don't let it go out
And this is a song
A song for someone
This is a song
A song for someone

You let me in to a conversation
A conversation only we could make
You're breaking into my imagination
Whatever's in there, it's yours to take
I was told I'd feel
Nothing the first time
You were slow to heal
But this could be the night
You might also like
If there is a light you can't always see
And there is a world we can't always be
If there is a dark within and without
And there is a light, don't let it go out
And this is a song
A song for someone
This is a song
This is a song for someone

Yeah
Yeah, yeah, yeah
Yeah
Yeah, yeah, yeah

And I'm a long, a long way from your hill of Calvary
And I'm a long way from where I was, where I need to be
If there is a light you can't always see
And there is a world we can't always be
If there is a kiss I stole from your mouth
And there is a light, don't let it go out44Embed"
You’re The Best Thing About Me,2017-09-06,Songs of Experience,"26 ContributorsYou’re The Best Thing About Me Lyrics
When you look so good, the pain in your face doesn't show
When you look so good, and baby, you don't even know
When the world is ours but the world is not your kind of thing
Full of shooting stars, brighter as they're vanishing
Oh, you've seen enough to know it's children who teach
You're still free enough to wake up on a bed or a beach

You're the best thing about me
The best thing that ever happened a boy
You're the best thing about me
I'm the kind of trouble that you enjoy
You're the best thing about me
The best things are easy to destroy
You're the best thing about me
The best thing about me

I been crying out, ""How bad can a good time be?""
Shooting off my mouth, that's another great thing about me
I have everything but I feel like nothing at all
There's no risky thing for a man who's determined to fall

You're the best thing about me
The best thing that ever happened a boy
You're the best thing about me
I'm the kind of trouble that you enjoy
You're the best thing about me
The best things are easy to destroy
You're the best thing about me
You might also like
Why am I
Why am I walking away? (Walking away)
Why am I walking away?

I can see it all so clearly
I can see what you can't see
I can see you love her loudly
When she needs you quietly

You're the best thing about me
The best things are easy to destroy
You're the best thing about me

Why am I
Why am I walking away? (Walking away)
Why am I walking away?4Embed"
Vertigo,2004-11-08,How to Re-Assemble an Atomic Bomb,"44 ContributorsVertigo Lyrics
Unos, dos, tres, catorce!
(Turn it up loud, captain)

Lights go down, it's dark
The jungle is your head, can't rule your heart
A feeling so much stronger than a thought
Your eyes are wide
And though your soul, it can't be bought
Your mind can wander

Hello, hello (¡Hola!)
I'm at a place called Vertigo (¿Dónde está?)
It's everything I wish I didn't know
Except you give me something I can feel
Feel

The night is full of holes
As bullets rip the sky of ink with gold
They twinkle as the boys play rock and roll
They know that they can't dance
At least they know
I can't stand the beats, I'm asking for the cheque
The girl with crimson nails has Jesus round her neck
Swinging to the music, swinging to the music
Oh, oh, oh
You might also like
Hello, hello (¡Hola!)
I'm at a place called Vertigo (¿Dónde está?)
It's everything I wish I didn't know
But you give me something I can feel
Feel

Checkmated!
Just fun!
She made it in, yeah!

All of this, all of this can be yours
All of this, all of this can be yours
All of this, all of this can be yours
Just give me what I want and no one gets hurt

Hello, hello (¡Hola!)
We're at a place called Vertigo (¿Dónde está?)
Lights go down and all I know
Is that you give me something
I can feel your love teaching me how
Your love is teaching me how
How to kneel
Kneel
Yeah yeah yeah yeah yeah yeah yeah (Yeah)
Yeah yeah yeah yeah yeah yeah yeah yeah7Embed"
All I Want Is You,1988-10-10,The Best of 1980-1990 & B-Sides,"25 ContributorsAll I Want Is You Lyrics
You say you want
Diamonds on a ring of gold
You say you want
Your story to remain untold

But all the promises we made
From the cradle to the grave
When all I want is you

You say you'll give me
A highway with no one on it
Treasure just to look upon it
All the riches in the night

You say you'll give me
Eyes in the moon of blindness
A river in a time of dryness
A harbour in the tempest

But all the promises we make
From the cradle to the grave
When all I want is you
You might also like
You say you want
Your love to work out right
To last with me through the night

You say you want
Diamonds on a ring of gold
Your story to remain untold
Your love not to grow cold

All the promises we break
From the cradle to the grave
When all I want is you

You, all I want is
You, all I want is
You, all I want is
You
2Embed"
Bad,1984-10-01,The Best of 1980-1990 & B-Sides,"25 ContributorsBad Lyrics
If you twist and turn away
If you tear yourself in two again
If I could, yes I would
If I could, I would let it go
Surrender, dislocate

If I could throw this lifeless lifeline to the wind
Leave this heart of clay, see you walk, walk away
Into the night and through the rain
Into the half light and through the flame

If I could, through myself, set your spirit free
I'd lead your heart away, see you break, break away
Into the light and to the day
Hoo, hoo! Hoo, hoo! Hoo, hoo!
Hoo, hoo! Hoo, hoo! Hoo, hoo!

To let it go and so to fade away
To let it go and so fade away
I'm wide awake, I'm wide awake, wide awake
I'm not sleeping
Oh no, no, no
You might also like
If you should ask, then maybe
They'd tell you what I would say
True colours fly in blue and black
Blue silken sky and burning flag
Colours crash, collide in blood-shot eyes
Hoo, hoo! Hoo, hoo! Hoo, hoo!

If I could, you know I would
If I could, I would let it go
This desperation, dislocation
Separation, condemnation
Revelation, in temptation
Isolation, desolation

Let it go and so fade away
To let it go, oh yeah, and so fade away
To let it go, oh no, and so to fade away
I'm wide awake, I'm wide awake, wide awake
I'm not sleeping
Oh no, no, no5Embed"
Ordinary Love,2013-11-29,Mandela: Long Walk to Freedom,"19 ContributorsOrdinary Love Lyrics
The sea wants to kiss the golden shore
The sunlight warms your skin
All the beauty that's been lost before
Wants to find us again
I can't fight you anymore
It's you I'm fighting for
The sea throws rocks together
But time leaves us polished stones

We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love

Birds fly high in the summer sky
And rest on the breeze
The same wind will take care of you and I
We'll build our house in the trees
Your heart is on my sleeve
Did you put it there with a magic marker?
For years, I would believe
That the world couldn't wash it away
You might also like
'Cause we can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love

Are we tough enough for ordinary love?

We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love
We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love34Embed"
The Troubles,2014-09-09,Songs Of Innocence (Deluxe),"22 ContributorsThe Troubles Lyrics
Somebody stepped inside your soul
Somebody stepped inside your soul
Little by little they robbed and stole
Till someone else was in control

You think it's easier
To put your finger on the trouble
When the trouble is you
And you think it's easier
To know your own tricks
Well, it's the hardest thing you'll ever do

I have a will for survival
So you can hurt me and hurt me some more
I can live with denial
But you're not my troubles anymore

Somebody stepped inside your soul
Somebody stepped inside your soul
Little by little they robbed and stole
Till somebody else was in control
Somebody stepped inside your soul
Somebody stepped inside your soul
Little by little they robbed and stole
Till someone else was in control
You might also like
You think it's easier
To give up on the trouble
If the trouble is destroying you
And you think it's easier
But before you threw me a rope
It was the one thing I could hold on to

I have a will for survival
So you can hurt me then and hurt me some more
I can live with denial
But you're not my troubles anymore

Somebody stepped inside your soul
Somebody stepped inside your soul
Little by little they robbed and stole
Till somebody else was in control (Someone else is in control)
Somebody stepped inside your soul (Oh no)
Somebody stepped inside your soul (Oh no)
Little by little they robbed and stole
Till somebody else was in control

God knows it's not easy
Taking on the shape of someone else's pain
God, now you can see me
I'm naked and I'm not afraid
My body's sacred, and I'm not ashamed
Somebody stepped inside your soul (Oh no)
Somebody stepped inside your soul (Oh no)
Little by little they robbed and stole
Till somebody else was in control (Someone else is in control)
Somebody stepped inside your soul (Oh no)
Somebody stepped inside your soul (Oh no)
Little by little they robbed and stole
Till someone else was in control (Someone else is in control)24Embed"
Stuck in a Moment You Can’t Get Out Of,2000-10-30,All That You Can’t Leave Behind (20th Anniversary Edition / Super Deluxe / Remastered 2020),"31 ContributorsStuck in a Moment You Can’t Get Out Of Lyrics
I'm not afraid
Of anything in this world
There's nothing you can throw at me
That I haven't already heard
I'm just trying to find
A decent melody
A song that I can sing
In my own company

I never thought you were a fool
But darling look at you (Oh)
You gotta stand up straight
Carry your own weight
These tears are going nowhere, baby

You've got to get yourself together
You've got stuck in a moment
And now you can't get out of it
Don't say that later will be better
Now you're stuck in a moment
And you can't get out of it

I will not forsake
The colours that you bring
The nights you filled with fireworks
They left you with nothing
I am still enchanted
By the light you brought to me
I listen through your ears
Through your eyes I can see
You might also like
And you are such a fool
To worry like you do (Oh, oh)
I know it's tough
And you can never get enough
Of what you don't really need now
My, oh my

You've got to get yourself together
You've got stuck in a moment
And you can't get out of it
Oh love, look at you now
You've got yourself stuck in a moment
And you can't get out of it

I was unconscious, half-asleep
The water is warm till you discover how deep
I wasn't jumping, for me it was a fall
It's a long way down to nothing at all

You've got to get yourself together
You've got stuck in a moment
And you can't get out of it
Don't say that later will be better
Now you're stuck in a moment
And you can't get out of it
And if the night runs over
And if the day won't last
And if our way should falter
Along the stony pass
And if the night runs over
And if the day won't last
And if your way should falter
Along the stony pass
It's just a moment
This time will pass8Embed"
American Soul,2017-11-17,Songs of Experience,"26 ContributorsAmerican Soul Lyrics
Blessed are the bullies
For one day they will have to stand up to themselves
Blessed are the liars
For the truth can be awkward
It's not a place
This country is to me a sound
Of drum and bass
You close your eyes to look around
Look around, look around
Look around, it's a sound
Look around, look around
It's a sound

It's not a place
This country is to me a thought
That offers grace
For every welcome that is sought

You are rock and roll
You and I are rock and roll
You are rock and roll
Came here looking for American soul
You might also like
It's not a place
This is a dream the whole world owns
The pilgrim's face
It had your heart to call her home
Hold on Brother John
Too many mothers weepin'
Dream on Brother John
But in your dreams you can't be sleepin'

You are rock and roll
You and I are rock and roll
You are rock and roll
Came here looking for American soul
American
American

Put your hands in the air
Hold up the sky
Could be too late but we still gotta try
There's a moment in our life where a soul can die
In a person, in a country, when you believe the lie
The lie (The lie, the lie)
There's a promise in the heart of every good dream
It's a call to action not to fantasy
The end of the dream, the start of what's real
Let it be unity
Let it be community
For refugees like you and me
A country to receive us
Will you be my sanctuary?
Refu-Jesus
You are rock and roll
You and I are rock and roll
You are rock and roll
Came here looking for American soul


You are rock and roll
You and I are rock and roll
You are rock and roll
Came here looking for American soul
American soul
American soul4Embed"
Elevation,2000-10-30,All That You Can’t Leave Behind (20th Anniversary Edition / Super Deluxe / Remastered 2020),"26 ContributorsElevation Lyrics
High, higher than the sun
You shoot me from a gun
I need you to elevate me here
At the corner of your lips
As the orbit of your hips
Eclipse, you elevate my soul

I've got no self-control
Been living like a mole
Now going down, excavation
I and I in the sky
You make me feel like I can fly
So high, elevation

A star, lit up like a cigar
Strung out like a guitar
Maybe you could educate my mind
Explain all these controls
I can't sing but I've got soul
The goal is elevation

A mole, digging in a hole
Digging up my soul
Now going down, excavation
I and I in the sky
You make me feel like I can fly
So high, elevation
You might also like
Love, lift me out of these blues
Won't you tell me something true
I believe in you

A mole, digging in a hole
Digging up my soul
Going down, excavation
I and I in the sky
You make me feel like I can fly
So high, elevation

Elevation...
Elevation...
Elevation...
Elevation...6Embed"
